ID	Level	Area	Name	Log Message Example	Description	Format
0F000001	INFO	Proxy / Connection Framework Manager	HTTPS content inspection list imported	HTTPS content inspection exception list imported	"When a pre-defined HTTPS exception list is imported, this event log is generated to inform the user."	HTTPS content inspection exception list imported
0F010015	WARN	Proxy / Connection Framework Manager	APT threat notified	APT threat notified. Details='%s'	"When APT server analysis result returned and identified as certain level threat, this event log will be generated to inform that the APT notification has been sent with detailed information."	APT threat notified. Details='Policy Name: HTTPS-proxy-00 Reason: high APT threat detected Task_UUID: d09445005c3f4a9a9bb78c8cb34edc2a Source IP: 10.0.1.2 Source Port: 43130 Destination IP: 67.228.175.200 Destination Port: 443 Proxy Type: HTTP Proxy Host: analysis.lastline.com Path: /docs/lastline-demo-sample.exe'
0F010016	INFO	Proxy / Connection Framework Manager	APT safe result from file submission. Details='%s'	APT safe result from file submission. Details='%s'	Ñ	APT safe result from file submission. Details='Policy Name: HTTP-OUT-00 Reason: clean Message: APT safe object Task_UUID: 7a1e1500e92a410fa44d907f96b9209e MD5: d2723ba60dc88ec1ea449be9eee601cc Source IP: 10.0.1.2 Source Port: 50293 Destination IP: 100.100.100.3 Destination Port: 80 Proxy Type: HTTP Proxy Host: 100.100.100.3 Path: /test.exe'
1C0200CD	ERROR	Proxy / FTP	Ruleset lookup failed	Cannot get the rule from ruleset '%s'	FTP proxy -- Failed to check the specified ruleset	Cannot get the rule from ruleset 'request/download'
1B0400CE	ERROR	Proxy / SMTP	Ruleset lookup failed	Ruleset '%s' lookup failed	SMTP proxy -- Failed to check the specified ruleset	Ruleset 'envelope/greeting' lookup failed
1DFF0000	INFO	Proxy / DNS	Invalid number of questions	DNS invalid number of questions	The traffic was blocked because the message included an invalid number of questions.	"Deny 1-Trusted 0-External udp 10.0.1.5 192.168.53.143 56701 53 msg="ProxyDeny: DNS invalid number of questions" (DNS-proxy-00)"
1DFF0001	INFO	Proxy / DNS	Query name oversized	DNS oversized query name	"The DNS query was blocked because the DNS query name exceeded the allowed buffer size, which varies from 0 kilobytes to 64 kilobytes."	"Deny 1-Trusted 0-External udp 10.0.1.5 192.168.53.143 56702 53 msg="ProxyDeny: DNS oversized query name" (DNS-proxy-00)"
1DFF0002	INFO	Proxy / DNS	Query name compressed	DNS compressed query name	The DNS query was blocked because the domain name was compressed.	"Deny 1-Trusted 0-External udp 10.0.1.5 192.168.53.143 56703 53 msg="ProxyDeny: DNS compressed query name" (DNS-proxy-00)"
1DFF0003	INFO	Proxy / DNS	Parse error	DNS Parse error	The DNS request was blocked because the proxy failed to parse the domain name.	"Deny 1-Trusted 0-External udp 10.0.1.5 192.168.53.143 56704 53 msg="ProxyDeny: DNS parse error" (DNS-proxy-00)"
1DFF0004	INFO	Proxy / DNS	Not Internet CLASS	DNS Not Internet CLASS	The DNS query was not Internet CLASS. The log message specifies the action taken and the CLASS.	"Deny 1-Trusted 0-External udp 10.0.1.5 192.168.53.143 46828 53 msg="ProxyDeny: DNS Not Internet CLASS" proxy_act="DNS-Outgoing.1" query_class="ANY" (DNS-proxy-00)"
1DFF0005	INFO	Proxy / DNS	OPcode match	DNS OpCode match	"The OpCode matched a configured rule, or the default rule of no match. The log message specifies the action taken, the rule, and the OpCode."	"Deny 1-Trusted 0-External udp 10.0.1.3 192.168.130.81 36755 53 msg="ProxyDeny: DNS OpCode match" proxy_act="DNS-Outgoing.1" rule_name="Query" query_opcode="QUERY" (DNS-proxy-00)"
1DFF0006	INFO	Proxy / DNS	Query type match	DNS query type match	"The query type matched a configured rule, or the default rule of no match. The log message specifies the action taken, the rule matched, and the query type."	"Deny 2-Optional-1 0-External udp 10.0.2.2 192.168.130.245 53710 53 msg="ProxyDeny: DNS query type match" proxy_act="DNS-Outgoing.1" rule_name="PTR record" query_type="PTR" (DNS-proxy-00)"
1DFF0007	INFO	Proxy / DNS	Question undersized	DNS undersized question	The DNS query was blocked because the query size was less than the minimum valid size of 17 bytes.	"Deny 1-Trusted 0-External udp 10.0.1.5 192.168.53.143 56704 53 msg="ProxyDeny: DNS undersized question" (DNS-proxy-00)"
1DFF0008	INFO	Proxy / DNS	Question oversized	DNS oversized question	The DNS query was blocked because the query size exceeds the maximum allowed size of 271 bytes.	"Deny 1-Trusted 0-External udp 10.0.1.5 192.168.53.143 56705 53 msg="ProxyDeny: DNS oversized question" (DNS-proxy-00)"
1DFF0009	INFO	Proxy / DNS	Timeout	DNS timeout	The DNS connection was idle longer than the configured timeout value in the DNS policy.	"Deny 1-Trusted 0-External udp 10.0.1.5 192.168.53.143 54807 53 msg="ProxyDrop: DNS timeout" (DNS-proxy-00)"
1DFF000A	INFO	Proxy / DNS	Response answer undersized	DNS undersized answer	The DNS response was blocked because the response size was less than the minimum value of 17 bytes.	"Deny 1-Trusted 0-External udp 10.0.1.5 192.168.53.143 56706 53 msg="ProxyDeny: DNS undersized answer" (DNS-proxy-00)"
1DFF000C	INFO	Proxy / DNS	Response ID Invalid	DNS invalid response	The DNS response was blocked because the response ID did not match the current or previous request ID.	"Deny 1-Trusted 0-External udp 10.0.1.5 192.168.53.143 56706 53 msg="ProxyDeny: DNS invalid response" (DNS-proxy-00)"
1DFF000E	INFO	Proxy / DNS	Query question match	DNS question match	"The DNS query name matched a configured rule, or the default rule of no match. The log message specifies the rule matched, action taken, and query name."	"Deny 1-Trusted 0-External udp 10.0.1.3 192.168.130.81 59806 53 msg="ProxyDeny: DNS question match" proxy_act="DNS-Outgoing.1" rule_name="GStatic" query_type="A" question="ssl.gstatic.com" (DNS-proxy-00)"
1DFF000F	INFO	Proxy / DNS	Request	DNS request	The DNS request audit log specifies the query type and name.	"Allow 2-Optional-1 0-External udp 10.0.2.2 192.168.130.245 61758 53 msg="DNS request" proxy_act="DNS-Outgoing.1" query_type="PTR" question="1.0.0.127.dnsbugtest.1.0.0.127.in-addr.arpa" (DNS-proxy-00)"
1DFF0010	INFO	Proxy / DNS	IPS match	DNS IPS match	"Intrusion Prevention Service (IPS) detected an intrusion threat. The log message specifies the signature ID, threat severity, signature name, and signature category."	"Deny 0-External 1-Trusted udp 10.0.1.5 192.168.53.143 1024 53 msg="ProxyDrop: DNS IPS match" proxy_act="DNS-Outgoing.1" signature_id="1056125" severity="4" signature_name="EXPLOIT Tftpd32 DNS Server Buffer Overflow" signature_cat="Buffer Over Flow" (DNS-proxy-00)"
1DFF0012	INFO	Proxy / DNS	Application match	DNS App match	"Application Control identified the application type from the DNS client query and server response. The log message specifies the application name and ID, the application category name and ID, and the behavior name and ID."	"Allow 1-Trusted 0-External udp 10.0.1.3 192.168.130.81 36755 53 msg="ProxyAllow: DNS App match" proxy_act="DNS-Outgoing.1" app_cat_name="Network Management" app_cat_id="9" app_name="DNS" app_id="61" app_beh_name="access" app_beh_id="6" (DNS-proxy-00)"
1CFF0000	INFO	Proxy / FTP	User name too long	FTP user name too long	The user name exceeds the maximum length specified in the FTP proxy. The default is 64 characters.	"Deny 1-Trusted 0-External tcp 10.0.1.49 11.11.11.2 60774 21 msg="ProxyDeny: FTP user name too long" proxy_act="FTP-Client.1" user="testusertestuser1" length="17" (FTP-proxy-00)"
1CFF0001	INFO	Proxy / FTP	Password too long	FTP user password too long	The password specified for the user exceeds the maximum length configured in the FTP proxy. The default maximum length is 32 characters.	"Deny 1-Trusted 0-External tcp 10.0.1.49 11.11.11.2 60776 21 msg="ProxyDeny: FTP user password too long" proxy_act="FTP-Client.1" length="17" (FTP-proxy-00)"
1CFF0002	INFO	Proxy / FTP	File or directory name too long	FTP file or directory name too long	"The file or directory name exceeds the maximum length configured in the FTP proxy. The default maximum length is 1,024 bytes."	"Deny 1-Trusted 0-External tcp 10.0.1.49 11.11.11.2 60782 21 msg="ProxyDeny: FTP file or directory name too long" proxy_act="FTP-Client.1" length="5" (FTP-proxy-00)"
1CFF0003	INFO	Proxy / FTP	Command line too long	FTP command line too long	"The command exceeded the maximum length configured in the FTP proxy. The default maximum length is 1,030 characters."	"Deny 1-Trusted 0-External tcp 10.0.1.49 11.11.11.2 60784 21 msg="ProxyDeny: FTP command line too long" proxy_act="FTP-Client.1" length="12" (FTP-proxy-00)"
1CFF0004	INFO	Proxy / FTP	Exceeded maximum allowed login attempts	FTP exceeded maximum permitted login attempts	The user exceeded the configured maximum number of allowed failed log in attepmts per connection. The default limit is 6.	"Deny 1-Trusted 0-External tcp 10.0.1.49 11.11.11.2 49162 21 msg="ProxyDrop: FTP exceeded maximum permitted login attempts" (FTP-proxy-00)"
1CFF0005	INFO	Proxy / FTP	Command match	FTP command match	"The command matched a configured rule, or the default of no match. For the FTP-server proxy action, the default is to deny any command that does not appear on the list. For the FTP-client proxy action, there is no default restriction on commands. The log message specifies the proxy action, action taken, and the command."	"Deny 1-Trusted 0-External tcp 10.0.1.49 11.11.11.2 49196 21 msg="ProxyDeny: FTP command match" proxy_act="FTP-Client.2" rule_name="LIST" command="ls" (FTP-proxy-00)"
1CFF0006	INFO	Proxy / FTP	Download match	FTP download match	"The file type matched a configured download rule, or the default rule of no match. The log message specifies the proxy action, action taken, and file type."	"Deny 1-Trusted 0-External tcp 10.0.1.49 11.11.11.2 49208 21 msg="ProxyDeny: FTP download match" proxy_act="FTP-Client.2" rule_name="*.zip" file_name="hostname.zip" (FTP-proxy-00)"
1CFF0007	INFO	Proxy / FTP	Upload match	FTP upload match	"The file type matched a configured upload rule, or the default rule of no match. The log message specifies the proxy action, action taken, and file type."	"Deny 1-Trusted 0-External tcp 10.0.1.49 11.11.11.2 49228 21 msg="ProxyDeny: FTP upload match" proxy_act="FTP-Client.2" rule_name="ISO" file_name="test.iso" (FTP-proxy-00)"
1CFF0008	INFO	Proxy / FTP	Timeout	FTP timeout	The connection exceeded the configured idle time value. The default is 180 seconds.	"Deny 1-Trusted 0-External tcp 10.0.1.49 11.11.11.2 49561 21 msg="ProxyDrop: FTP timeout" (FTP-proxy-00)"
1CFF0009	INFO	Proxy / FTP	Invalid request	FTP invalid request	"The FTP proxy rejected the command because of a lack of required arguments, such as a user name. The log message specifies the proxy action and command."	"Deny 1-Trusted 0-External tcp 10.0.1.49 11.11.11.2 49579 21 msg="ProxyDeny: FTP invalid request" proxy_act="FTP-Client.2" reason="No username value provided for USER command" (FTP-proxy-00)"
1CFF000C	INFO	Proxy / FTP	Request	FTP request	This log message for the FTP request transaction includes the source and destination IP addresses for the initial connections.	"Allow 1-Trusted 0-External tcp 10.0.1.49 11.11.11.2 49590 21 msg="FTP request" proxy_act="FTP-Client.2" ctl_src="10.0.1.49:47553" ctl_dst="11.11.11.2:5120" file="test.exe" rcvd_bytes="1084" sent_bytes="0" user="testuser" type="download" (FTP-proxy-00)"
1CFF000D	INFO	Proxy / FTP	IPS match	FTP IPS match	"Intrusion Prevention Service (IPS) detected a threat. The action configured for an IPS Match will be applied to the traffic. The log message includes the signature ID, threat severity, signature name, and signature category."	"Deny 0-External 1-Trusted tcp 11.11.11.2 11.11.11.5 1024 21 msg="ProxyDrop: FTP IPS match" proxy_act="FTP-Client.3" signature_id="1110297" severity="4" signature_name="EXPLOIT FlashGet FTP PWD Command Stack buffer overflow -1" signature_cat="Buffer Over Flow" (FTP-proxy-00)"
1CFF000E	INFO	Proxy / FTP	GAV Virus found	FTP Virus found	Gateway AntiVirus (GAV) detected a virus or malware in the attachment. The log message specifies the detected virus name and the file name of the attachment.	"Deny 0-External 1-Trusted tcp 11.11.11.2 11.11.11.5 20 56528 msg="ProxyDrop: FTP Virus found" proxy_act="FTP-Client.3" ctl_src="11.11.11.2:5120" ctl_dst="10.0.1.49:47553" virus="EICAR_Test" file="eicar.com" (FTP-proxy-00)"
1CFF000F	INFO	Proxy / FTP	GAV scan error	FTP AV scanning error	Gateway AntiVirus (GAV) failed to scan due to the error specified in the log message.	"Deny 0-External 1-Trusted tcp 11.11.11.2 11.11.11.5 20 44485 msg="ProxyDrop: FTP AV scanning error" proxy_act="FTP-Client.3" ctl_src="11.11.11.2:5120" ctl_dst="10.0.1.49:47553" error="avg scanner is not created" file="eicar.com" (FTP-proxy-00)"
1CFF0010	INFO	Proxy / FTP	Application match	FTP App match	"Application Control identified an application in the FTP client request or server response. The log message specifies the proxy action, application control action, action taken, application name and ID, application category and ID, and application behavior name and ID."	"Allow 1-Trusted 0-External tcp 10.0.1.49 11.11.11.2 49843 21 msg="ProxyAllow: FTP App match" proxy_act="FTP-Client.3" app_cat_name="File Transfer" app_cat_id="3" app_name="FTP Applications" app_id="1" app_beh_name="authority" app_beh_id="1" (FTP-proxy-00)"
1CFF0011	INFO	Proxy / FTP	DLP violation found	FTP DLP violation found	"Data Loss Prevention (DLP) detected a rule violation. The log message specifies the proxy action, the DLP sensor name, DLP rule name, the authenticated user, and the file name. The log message also specifies the source and destination IP addresses and port for the control channel of the FTP session."	"Deny 0-External 1-Trusted tcp 11.11.11.2 11.11.11.5 20 37611 msg="ProxyDrop: FTP DLP violation found" proxy_act="FTP-Client.3" ctl_src="10.0.1.49:47553" ctl_dst="11.11.11.2:5120" dlp_sensor="test" dlp_rule="SocialsecuritynumberswithqualifyingtermsUSA" authenticated_user="testuser" file="test.docx" (FTP-proxy-00)"
1CFF0012	INFO	Proxy / FTP	DLP cannot perform scan	FTP cannot perform DLP scan	Data Loss Prevention (DLP) failed to scan because of the error specified in the log message.	"Allow 0-External 1-Trusted tcp 11.11.11.2 11.11.11.5 20 52217 msg="ProxyAllow: FTP cannot perform DLP scan" proxy_act="FTP-Client.3" ctl_src="11.11.11.2:5120" ctl_dst="10.0.1.49:47553" error="Error: DLP not initialized" file="ssn.docx" (FTP-proxy-00)"
1CFF0013	INFO	Proxy / FTP	DLP cannot scan object	FTP DLP object unscannable	"Data Loss Prevention (DLP) could not scan and analyze the attachment because it is encrypted. The log message specifies the DLP sensor name, error message, the authenticated user, and the file name."	"Allow 0-External 1-Trusted tcp 11.11.11.2 11.11.11.5 20 43974 msg="ProxyAllow: FTP DLP object unscannable" proxy_act="FTP-Client.3" ctl_src="11.11.11.2:5120" ctl_dst="10.0.1.49:47553" dlp_sensor="test" error="unscannable object (File was encrypted)" authenticated_user="testuser" file="test.zip" (FTP-proxy-00)"
1CFF0014	INFO	Proxy / FTP	DLP object too large	FTP DLP object too large	"Data Loss Prevention (DLP) could not analyze the attachment because the file was larger than the configured limit. The limit varies by platform, from one to five MB. The log message specifies the DLP sensor name and error message."	"Allow 0-External 1-Trusted tcp 11.11.11.2 11.11.11.5 20 43813 msg="ProxyAllow: FTP DLP object too large" proxy_act="FTP-Client.3" error="DLP scan limit (5242880) exceeded" (FTP-proxy-00)"
1CFF0015	INFO	Proxy / FTP	APT threat detected	FTP APT detected	"APT Blocker identified a threat. The log message specifies the threat level, threat name, threat class, malicious activities, and file name where the threat was located."	"Deny 0-External 1-Trusted tcp 11.11.11.2 11.11.11.5 20 58661 msg="ProxyDrop: FTP APT detected" proxy_act="FTP-Client.3" ctl_src="11.11.11.2:5120" ctl_dst="10.0.1.49:47553" md5="03e7ef270a157090e2f68079603b10fc" task_uuid="d21914d5a2bc4b618fae72da3b1c137e" threat_level="low" file="apt.txt" (FTP-proxy-00)"
1CFF0017	INFO	Proxy / FTP	File submitted to APT analysis server	FTP File submitted to APT analysis server	File submitted to APT analysis server for deep threat analysis. A separate log message will appear when the result is retrieved from the APT analysis server.	"Allow 0-External 1-Trusted tcp 11.11.11.2 11.11.11.5 20 43490 msg="ProxyAllow: FTP File submitted to APT analysis server" proxy_act="FTP-Client.3" ctl_src="11.11.11.2:5120" ctl_dst="10.0.1.49:47553" md5="03e7ef270a157090e2f68079603b10fc" task_uuid="d21914d5a2bc4b618fae72da3b1c137e" file="apt.txt""
1CFF0018	INFO	Proxy / FTP	File reported safe from APT hash check	FTP File reported safe from APT hash check	APT hash check did not report a threat from the object	"Allow 0-External 1-Trusted tcp 11.11.11.2 11.11.11.5 20 43490 msg="ProxyAllow: FTP File reported safe from APT hash check" proxy_act="FTP-Client.3" ctl_src="11.11.11.2:5120" ctl_dst="10.0.1.49:47553" md5="03e7ef270a157090e2f68079603b10fc" task_uuid="d21914d5a2bc4b618fae72da3b1c137e" file="apt.txt""
1CFF0019	ERROR	Proxy / FTP	FTP Bounce Attempt	FTP Bounce Attempt	FTP proxy -- User attempted FTP bounce	"Deny 1-Trusted 0-External tcp 10.0.1.2 192.168.53.164 37989 21 msg="ProxyBlock: FTP Bounce Attempt" proxy_act="FTP-Client.Standard" bounce ip="10.0.1.101""
2AFF0000	INFO	Proxy / H.323	Timeout	H323 timeout	The connection was idle longer than the configured timeout value. The default value is 180 seconds.	"Deny 1-Trusted 0-External tcp 10.0.1.5 192.168.53.143 1720 1720 msg="ProxyDrop: H323 timeout" (H323-ALG-00)"
2AFF0001	INFO	Proxy / H.323	Request	H323 request	This log message specifies the IP addresses for the completed H323 call.	"Allow 1-Trusted 0-External tcp 10.0.1.2 192.168.53.167 3233 1720 msg="H323 request" proxy_act="H.323-Client.1" call_from="10.0.1.2" call_to="192.168.53.167" rcvd_bytes="171444" sent_bytes="256488" (H323-ALG-00)"
2AFF0002	INFO	Proxy / H.323	Codec	H323 codec	The media codec is denied because it matched a configured Denied Codec. The log message specifies the codec.	"Deny 1-Trusted 0-External tcp 10.0.1.2 192.168.53.167 3230 1720 msg="ProxyDeny: H323 codec" proxy_act="H.323-Client.1" codec="(unknown)" (H323-ALG-00)"
2AFF0003	INFO	Proxy / H.323	Access control	H323 Access control	The header address is allowed or denied because it matches an Access Control rule configured in the H323 policy. The log message specifies the address.	"Allow 1-Trusted 0-External tcp 10.0.1.2 192.168.53.167 3232 1720 msg="ProxyAllow: H323 Access control" proxy_act="H.323-Client.1" From-header="10.0.1.2" (H323-ALG-00)"
2AFF0006	INFO	Proxy / H.323	IPS match	H323 IPS match	"Intrusion Prevention Service (IPS) detected an intrusion threat. The log message specifies the signature ID, threat severity, signature name, signature category, destination host name, and URI path."	"Deny 0-External 1-Trusted tcp 10.0.1.5 192.168.53.143 3234 3230 msg="ProxyDrop: H323 IPS match" proxy_act="H.323-Client.1" signature_id="1112506" severity="4" signature_name="EXPLOIT Digium Asterisk Invalid RTP Payload Type Number Memory Corruption" signature_cat="Access Control" (H323-ALG-00)"
2AFF0007	INFO	Proxy / H.323	Application match	H323 App match	"Application Control detected an application type from the transaction. The log message specifies the action taken, the application name and ID, application category name and ID, and the application behavior name and ID."	"Deny 1-Trusted 0-External tcp 10.0.1.6 192.168.53.167 3234 3230 msg="ProxyDrop: H323 App match" proxy_act="H.323-Client.1" app_cat_name="Voice over IP" app_cat_id="6" app_name="H.323" app_id="2" app_beh_name="access" app_beh_id="6" (H323-ALG-00)"
1AFF0001	INFO	Proxy / HTTP	Session timeout with server idle	HTTP server response timeout	The HTTP session has timed out because no traffic has been received from the server for the specified amount of time. (Default: 10 minutes)	"Deny 1-Trusted 6-Ext-access tcp 10.0.1.2 192.168.53.82 60654 80 msg="ProxyDeny: HTTP server response timeout" (HTTP-proxy-00)"
1AFF0002	INFO	Proxy / HTTP	Session timeout with client idle	HTTP client request timeout	The HTTP session has timed out because no traffic has been received from the client for the specified amount of time. (Default: 10 minutes)	"Deny 1-Trusted 6-Ext-access tcp 10.0.1.2 23.3.105.139 60680 80 msg="ProxyDeny: HTTP client request timeout" (HTTP-proxy-00)"
1AFF0003	INFO	Proxy / HTTP	Session timeout with close complete command timeout	HTTP close complete timeout	The Close HTTP Session command timed out because no response to the FIN packet was received within the response time limit (3 minutes).	"Deny 1-Trusted 6-Ext-access tcp 10.0.1.2 182.168.53.82 60654 80 msg="ProxyDeny: HTTP close complete timeout" (HTTP-proxy-00)"
1AFF0004	INFO	Proxy / HTTP	Oversize Start-Line	HTTP Start-Line oversize	"The first line of the client request or server response is longer than the configured maximum line length. The default maximum length is 4,096 bytes."	"Deny 1-Trusted 6-Ext-access tcp 10.0.1.2 134.170.188.84 52662 80 msg="ProxyDeny: HTTP Start-Line oversize" (HTTP-proxy-00)"
